message,concepts
"(1, 1, 1, 0)","[((14, 4, 6), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 4, 5), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 9, 5), (1, 1, 1)), ((14, 4, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1)), ((14, 4, 5), (1, 1, 1))]"
"(1, 1, 5, 0)","[(('?', 4, 6), (0, 1, 1)), (('?', 4, 5), (0, 1, 1)), (('?', 4, 6), (0, 1, 1)), (('?', 4, 6), (0, 1, 1)), (('?', 9, 6), (0, 1, 1)), (('?', 4, 6), (0, 1, 1)), (('?', 4, 6), (0, 1, 1)), (('?', 4, 6), (0, 1, 1)), (('?', 9, 6), (0, 1, 1))]"
"(1, 1, 6, 0)","[((9, 9, 6), (1, 1, 1))]"
"(1, 1, 19, 0)","[(('?', 4, 6), (0, 1, 1))]"
"(1, 1, 24, 0)","[((15, 9, 5), (1, 1, 1))]"
"(1, 1, 32, 0)","[((15, 4, 5), (1, 1, 1))]"
"(1, 1, 47, 0)","[((14, 4, 5), (1, 1, 1))]"
"(1, 2, 2, 0)","[((1, 4, 12), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((1, 9, 12), (1, 1, 1)), ((7, 4, 10), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((1, 9, 10), (1, 1, 1)), ((7, 4, 15), (1, 1, 1)), ((7, 9, 15), (1, 1, 1)), ((7, 4, 12), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((7, 9, 10), (1, 1, 1)), ((1, 4, 15), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((7, 9, 12), (1, 1, 1)), ((1, 4, 12), (1, 1, 1)), ((7, 4, 10), (1, 1, 1))]"
"(1, 2, 5, 0)","[((14, 4, 10), (1, 1, 1)), ((14, 4, 10), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 4, 10), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((9, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 4, 10), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 10), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 10), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 9, 12), (1, 1, 1)), ((14, 9, 10), (1, 1, 1)), ((14, 4, 15), (1, 1, 1)), ((14, 4, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1))]"
"(1, 2, 16, 0)","[((0, 4, 15), (1, 1, 1)), ((9, 4, 15), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((0, 9, 12), (1, 1, 1)), ((9, 4, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((0, 9, 12), (1, 1, 1)), ((0, 4, 15), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((9, 4, 12), (1, 1, 1))]"
